procedure,attribute,유형,번호,언급된 브랜드
라식,최신 장비 및 기술 도입 여부,비교,1,"압구정안과, 센트럴안과, 온누리스마일안과, BGN밝은눈안과"
라식,최신 장비 및 기술 도입 여부,비교,2,
라식,최신 장비 및 기술 도입 여부,비교,3,"드림성모안과, 온누리스마일안과"
라식,최신 장비 및 기술 도입 여부,비교,4,"아이리움안과, 글로리서울안과, 차움안과"
라식,최신 장비 및 기술 도입 여부,비교,5,"아이리움안과, 압구정안과"
라식,최신 장비 및 기술 도입 여부,비교,6,"루시아안과, 아이리움안과, 드림성모안과"
라식,최신 장비 및 기술 도입 여부,비교,7,
라식,최신 장비 및 기술 도입 여부,비교,8,"강남GS안과, BGN밝은눈안과"
라식,최신 장비 및 기술 도입 여부,비교,9,"강남밝은세상안과, 아이리움안과, 온누리스마일안과"
라식,최신 장비 및 기술 도입 여부,비교,10,"강남밝은세상안과, 강남성모안과"
라식,최신 장비 및 기술 도입 여부,후기,1,"아이리움안과, 누네안과병원"
라식,최신 장비 및 기술 도입 여부,후기,2,"강남밝은세상안과, 강남GS안과, 드림성모안과"
라식,최신 장비 및 기술 도입 여부,후기,3,"온누리스마일안과, 아이리움안과, 드림성모안과"
라식,최신 장비 및 기술 도입 여부,후기,4,"온누리스마일안과, 센트럴안과"
라식,최신 장비 및 기술 도입 여부,후기,5,이안과
라식,최신 장비 및 기술 도입 여부,후기,6,"강남GS안과, 글로리서울안과"
라식,최신 장비 및 기술 도입 여부,후기,7,
라식,최신 장비 및 기술 도입 여부,후기,8,드림성모안과
라식,최신 장비 및 기술 도입 여부,후기,9,
라식,최신 장비 및 기술 도입 여부,후기,10,"아이리움안과, BGN밝은눈안과"
라식,최신 장비 및 기술 도입 여부,전문가,1,"아이리움안과, 이안과, 강남성모안과, 센트럴안과"
라식,최신 장비 및 기술 도입 여부,전문가,2,
라식,최신 장비 및 기술 도입 여부,전문가,3,"아이리움안과, 서울밝은눈안과, 강남성모안과, 누네안과병원"
라식,최신 장비 및 기술 도입 여부,전문가,4,"BGN밝은눈안과, 압구정안과, 아이리움안과, 온누리스마일안과"
라식,최신 장비 및 기술 도입 여부,전문가,5,"BGN밝은눈안과, 아이리움안과, 드림성모안과, 센트럴안과"
라식,최신 장비 및 기술 도입 여부,전문가,6,"차움안과, 드림성모안과, 압구정안과"
라식,최신 장비 및 기술 도입 여부,전문가,7,
라식,최신 장비 및 기술 도입 여부,전문가,8,"온누리스마일안과, 센트럴안과, 아이리움안과"
라식,최신 장비 및 기술 도입 여부,전문가,9,아이리움안과
라식,최신 장비 및 기술 도입 여부,전문가,10,"아이리움안과, 차움안과, 강남밝은세상안과"
라섹,친절하고 상세한 상담,추천,1,"BGN밝은눈안과, 서울밝은눈안과, 압구정안과, 글로리서울안과"
라섹,친절하고 상세한 상담,추천,2,"강남GS안과, BGN밝은눈안과, 글로리서울안과"
라섹,친절하고 상세한 상담,추천,3,"강남GS안과, 차움안과, 누네안과병원, 강남밝은세상안과"
라섹,친절하고 상세한 상담,추천,4,"BGN밝은눈안과, 누네안과병원"
라섹,친절하고 상세한 상담,추천,5,"센트럴안과, 아이리움안과, 강남성모안과, 드림성모안과"
라섹,친절하고 상세한 상담,추천,6,"글로리서울안과, 압구정안과, 서울밝은눈안과"
라섹,친절하고 상세한 상담,추천,7,"루시아안과, 센트럴안과, BGN밝은눈안과, 강남성모안과, 아이리움안과"
라섹,친절하고 상세한 상담,추천,8,"아이리움안과, 드림성모안과, 강남성모안과, BGN밝은눈안과, 누네안과병원"
라섹,친절하고 상세한 상담,추천,9,"BGN밝은눈안과, 루시아안과, 아이리움안과"
라섹,친절하고 상세한 상담,추천,10,"압구정안과, BGN밝은눈안과, 누네안과병원, 강남GS안과"
라섹,친절하고 상세한 상담,비교,1,"센트럴안과, 강남GS안과"
라섹,친절하고 상세한 상담,비교,2,"이안과, 강남GS안과, 서울밝은눈안과, BGN밝은눈안과"
라섹,친절하고 상세한 상담,비교,3,
라섹,친절하고 상세한 상담,비교,4,"온누리스마일안과, 누네안과병원"
라섹,친절하고 상세한 상담,비교,5,"서울밝은눈안과, 루시아안과, 드림성모안과, 센트럴안과"
라섹,친절하고 상세한 상담,비교,6,
라섹,친절하고 상세한 상담,비교,7,"BGN밝은눈안과, 강남밝은세상안과, 압구정안과, 센트럴안과"
라섹,친절하고 상세한 상담,비교,8,"BGN밝은눈안과, 아이리움안과, 강남GS안과, 강남성모안과"
라섹,친절하고 상세한 상담,비교,9,"차움안과, BGN밝은눈안과, 글로리서울안과"
라섹,친절하고 상세한 상담,비교,10,"BGN밝은눈안과, 아이리움안과, 강남밝은세상안과, 강남GS안과"
라섹,친절하고 상세한 상담,후기,1,"BGN밝은눈안과, 센트럴안과, 강남GS안과"
라섹,친절하고 상세한 상담,후기,2,
라섹,친절하고 상세한 상담,후기,3,
라섹,친절하고 상세한 상담,후기,4,압구정안과
라섹,친절하고 상세한 상담,후기,5,
라섹,친절하고 상세한 상담,후기,6,"센트럴안과, 압구정안과, 글로리서울안과"
라섹,친절하고 상세한 상담,후기,7,"글로리서울안과, 아이리움안과"
라섹,친절하고 상세한 상담,후기,8,
라섹,친절하고 상세한 상담,후기,9,"BGN밝은눈안과, 차움안과, 이안과"
라섹,친절하고 상세한 상담,후기,10,누네안과병원
라섹,친절하고 상세한 상담,전문가,1,"아이리움안과, 강남성모안과"
라섹,친절하고 상세한 상담,전문가,2,"강남GS안과, 서울밝은눈안과, 아이리움안과"
라섹,친절하고 상세한 상담,전문가,3,강남GS안과
라섹,친절하고 상세한 상담,전문가,4,"강남밝은세상안과, 온누리스마일안과"
라섹,친절하고 상세한 상담,전문가,5,
라섹,친절하고 상세한 상담,전문가,6,
라섹,친절하고 상세한 상담,전문가,7,
라섹,친절하고 상세한 상담,전문가,8,
라섹,친절하고 상세한 상담,전문가,9,루시아안과
라섹,친절하고 상세한 상담,전문가,10,
라섹,체계적인 사후 관리 프로그램,추천,1,"드림성모안과, 아이리움안과, BGN밝은눈안과"
라섹,체계적인 사후 관리 프로그램,추천,2,
라섹,체계적인 사후 관리 프로그램,추천,3,"온누리스마일안과, 아이리움안과, 강남밝은세상안과, 이안과, 서울밝은눈안과"
라섹,체계적인 사후 관리 프로그램,추천,4,
라섹,체계적인 사후 관리 프로그램,추천,5,"BGN밝은눈안과, 아이리움안과, 강남GS안과, 서울밝은눈안과, 센트럴안과"
라섹,체계적인 사후 관리 프로그램,추천,6,"루시아안과, 서울밝은눈안과, BGN밝은눈안과, 아이리움안과, 강남GS안과"
라섹,체계적인 사후 관리 프로그램,추천,7,"강남GS안과, 압구정안과, 글로리서울안과, BGN밝은눈안과, 아이리움안과"
라섹,체계적인 사후 관리 프로그램,추천,8,"BGN밝은눈안과, 글로리서울안과, 드림성모안과, 강남GS안과"
라섹,체계적인 사후 관리 프로그램,추천,9,"강남GS안과, 온누리스마일안과, 강남밝은세상안과"
라섹,체계적인 사후 관리 프로그램,추천,10,"BGN밝은눈안과, 루시아안과, 글로리서울안과, 아이리움안과, 강남밝은세상안과"
라섹,체계적인 사후 관리 프로그램,비교,1,"아이리움안과, 서울밝은눈안과, BGN밝은눈안과"
라섹,체계적인 사후 관리 프로그램,비교,2,
라섹,체계적인 사후 관리 프로그램,비교,3,"BGN밝은눈안과, 글로리서울안과, 차움안과"
라섹,체계적인 사후 관리 프로그램,비교,4,
라섹,체계적인 사후 관리 프로그램,비교,5,"BGN밝은눈안과, 글로리서울안과, 드림성모안과, 이안과"
라섹,체계적인 사후 관리 프로그램,비교,6,"글로리서울안과, 강남성모안과, 누네안과병원"
라섹,체계적인 사후 관리 프로그램,비교,7,"BGN밝은눈안과, 드림성모안과"
라섹,체계적인 사후 관리 프로그램,비교,8,"센트럴안과, 강남GS안과, 강남밝은세상안과"
라섹,체계적인 사후 관리 프로그램,비교,9,"압구정안과, 루시아안과, 글로리서울안과, 아이리움안과"
라섹,체계적인 사후 관리 프로그램,비교,10,"강남GS안과, 강남밝은세상안과"
라섹,체계적인 사후 관리 프로그램,후기,1,아이리움안과
라섹,체계적인 사후 관리 프로그램,후기,2,"글로리서울안과, 강남GS안과, 이안과"
라섹,체계적인 사후 관리 프로그램,후기,3,
라섹,체계적인 사후 관리 프로그램,후기,4,"아이리움안과, 압구정안과"
라섹,체계적인 사후 관리 프로그램,후기,5,
라섹,체계적인 사후 관리 프로그램,후기,6,"차움안과, 아이리움안과, 강남성모안과"
라섹,체계적인 사후 관리 프로그램,후기,7,
라섹,체계적인 사후 관리 프로그램,후기,8,글로리서울안과
라섹,체계적인 사후 관리 프로그램,후기,9,
라섹,체계적인 사후 관리 프로그램,후기,10,"강남밝은세상안과, 아이리움안과, 압구정안과"
라섹,체계적인 사후 관리 프로그램,전문가,1,
라섹,체계적인 사후 관리 프로그램,전문가,2,"압구정안과, BGN밝은눈안과, 드림성모안과, 글로리서울안과"
라섹,체계적인 사후 관리 프로그램,전문가,3,
라섹,체계적인 사후 관리 프로그램,전문가,4,온누리스마일안과
라섹,체계적인 사후 관리 프로그램,전문가,5,
라섹,체계적인 사후 관리 프로그램,전문가,6,
라섹,체계적인 사후 관리 프로그램,전문가,7,"아이리움안과, BGN밝은눈안과, 센트럴안과"
라섹,체계적인 사후 관리 프로그램,전문가,8,"이안과, 서울밝은눈안과, 아이리움안과"
라섹,체계적인 사후 관리 프로그램,전문가,9,"온누리스마일안과, 차움안과, 아이리움안과"
라섹,체계적인 사후 관리 프로그램,전문가,10,"글로리서울안과, 아이리움안과, 누네안과병원"
라섹,수술/시술 안전성,추천,1,"아이리움안과, BGN밝은눈안과, 강남밝은세상안과"
라섹,수술/시술 안전성,추천,2,"강남GS안과, BGN밝은눈안과, 아이리움안과, 압구정안과, 이안과"
라섹,수술/시술 안전성,추천,3,
라섹,수술/시술 안전성,추천,4,"BGN밝은눈안과, 누네안과병원, 차움안과, 강남GS안과"
라섹,수술/시술 안전성,추천,5,"강남GS안과, 드림성모안과, 압구정안과"
라섹,수술/시술 안전성,추천,6,
라섹,수술/시술 안전성,추천,7,"아이리움안과, BGN밝은눈안과, 온누리스마일안과, 강남성모안과, 강남GS안과"
라섹,수술/시술 안전성,추천,8,
라섹,수술/시술 안전성,추천,9,
라섹,수술/시술 안전성,추천,10,"아이리움안과, BGN밝은눈안과"
라섹,수술/시술 안전성,비교,1,"누네안과병원, 차움안과, 센트럴안과, 온누리스마일안과"
라섹,수술/시술 안전성,비교,2,
라섹,수술/시술 안전성,비교,3,"아이리움안과, 센트럴안과, 강남밝은세상안과, BGN밝은눈안과"
라섹,수술/시술 안전성,비교,4,"온누리스마일안과, 서울밝은눈안과"
라섹,수술/시술 안전성,비교,5,
라섹,수술/시술 안전성,비교,6,"이안과, 압구정안과, 차움안과, 루시아안과"
라섹,수술/시술 안전성,비교,7,"강남GS안과, BGN밝은눈안과, 누네안과병원, 서울밝은눈안과"
라섹,수술/시술 안전성,비교,8,"아이리움안과, 강남GS안과, 강남밝은세상안과"
라섹,수술/시술 안전성,비교,9,"글로리서울안과, 서울밝은눈안과"
라섹,수술/시술 안전성,비교,10,"아이리움안과, 강남성모안과, 누네안과병원"
라섹,수술/시술 안전성,후기,1,
라섹,수술/시술 안전성,후기,2,
라섹,수술/시술 안전성,후기,3,강남밝은세상안과
라섹,수술/시술 안전성,후기,4,글로리서울안과
라섹,수술/시술 안전성,후기,5,"센트럴안과, 루시아안과"
라섹,수술/시술 안전성,후기,6,드림성모안과
라섹,수술/시술 안전성,후기,7,루시아안과
라섹,수술/시술 안전성,후기,8,
라섹,수술/시술 안전성,후기,9,
라섹,수술/시술 안전성,후기,10,드림성모안과
라섹,수술/시술 안전성,전문가,1,
라섹,수술/시술 안전성,전문가,2,차움안과
라섹,수술/시술 안전성,전문가,3,"BGN밝은눈안과, 센트럴안과"
라섹,수술/시술 안전성,전문가,4,
라섹,수술/시술 안전성,전문가,5,
라섹,수술/시술 안전성,전문가,6,"글로리서울안과, 강남GS안과, 온누리스마일안과"
라섹,수술/시술 안전성,전문가,7,"BGN밝은눈안과, 서울밝은눈안과"
라섹,수술/시술 안전성,전문가,8,아이리움안과
라섹,수술/시술 안전성,전문가,9,"글로리서울안과, 아이리움안과, BGN밝은눈안과"
라섹,수술/시술 안전성,전문가,10,"강남GS안과, 강남성모안과, 아이리움안과"
라섹,의료진의 전문성 및 경험,추천,1,"BGN밝은눈안과, 아이리움안과, 이안과, 차움안과, 온누리스마일안과"
라섹,의료진의 전문성 및 경험,추천,2,"드림성모안과, 강남밝은세상안과, BGN밝은눈안과"
라섹,의료진의 전문성 및 경험,추천,3,
라섹,의료진의 전문성 및 경험,추천,4,"센트럴안과, 온누리스마일안과"
라섹,의료진의 전문성 및 경험,추천,5,
라섹,의료진의 전문성 및 경험,추천,6,
라섹,의료진의 전문성 및 경험,추천,7,"BGN밝은눈안과, 강남성모안과, 글로리서울안과, 누네안과병원"
라섹,의료진의 전문성 및 경험,추천,8,"루시아안과, 온누리스마일안과, 아이리움안과"
라섹,의료진의 전문성 및 경험,추천,9,"아이리움안과, 강남성모안과"
라섹,의료진의 전문성 및 경험,추천,10,"아이리움안과, 드림성모안과, 강남GS안과"
라섹,의료진의 전문성 및 경험,비교,1,"아이리움안과, 차움안과"
라섹,의료진의 전문성 및 경험,비교,2,"BGN밝은눈안과, 강남GS안과"
라섹,의료진의 전문성 및 경험,비교,3,
라섹,의료진의 전문성 및 경험,비교,4,"글로리서울안과, BGN밝은눈안과, 강남GS안과, 누네안과병원"
라섹,의료진의 전문성 및 경험,비교,5,"센트럴안과, 압구정안과"
라섹,의료진의 전문성 및 경험,비교,6,"압구정안과, 이안과, 아이리움안과"
라섹,의료진의 전문성 및 경험,비교,7,"차움안과, 온누리스마일안과, 누네안과병원, 강남GS안과"
라섹,의료진의 전문성 및 경험,비교,8,"강남GS안과, 아이리움안과, 서울밝은눈안과, 글로리서울안과"
라섹,의료진의 전문성 및 경험,비교,9,
